Run;Alias;Assay Type;BioProject;BioSample;Center Name;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;Description;ENA_checklist;ENA-FIRST-PUBLIC (run);ENA-LAST-UPDATE (run);Experiment;INSDC_center_alias;INSDC_center_name;INSDC_first_public;INSDC_last_update;INSDC_status;Instrument;Lane;Library Name;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;pooled;ReleaseDate;sample_code;Sample Name;sample_name;SRA_accession;SRA Study;template_concentration;title;AvgSpotLen;Bases;Bytes
ERR567384;kkennedy_illumina-bias_10;AMPLICON;PRJEB6592;SAMEA2661465;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526373;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;6TD;SAMEA2661465;ERS510679;ERS510679;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;21666320;11672922
ERR567385;kkennedy_illumina-bias_11;AMPLICON;PRJEB6592;SAMEA2661466;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526374;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;6TD;SAMEA2661466;ERS510680;ERS510680;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;40409996;21601794
ERR567386;kkennedy_illumina-bias_12;AMPLICON;PRJEB6592;SAMEA2661467;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526375;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;6TD;SAMEA2661467;ERS510681;ERS510681;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;36281046;19198597
ERR567387;kkennedy_illumina-bias_13;AMPLICON;PRJEB6592;SAMEA2661468;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526376;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;6TD;SAMEA2661468;ERS510682;ERS510682;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;25904204;13702130
ERR567388;kkennedy_illumina-bias_14;AMPLICON;PRJEB6592;SAMEA2661469;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526377;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;6TD;SAMEA2661469;ERS510683;ERS510683;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;50268774;26612534
ERR567389;kkennedy_illumina-bias_15;AMPLICON;PRJEB6592;SAMEA2661470;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526378;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;6TD;SAMEA2661470;ERS510684;ERS510684;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;8254386;4472438
ERR567390;kkennedy_illumina-bias_16;AMPLICON;PRJEB6592;SAMEA2661471;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526379;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;6TD;SAMEA2661471;ERS510685;ERS510685;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;7922564;4263412
ERR567391;kkennedy_illumina-bias_17;AMPLICON;PRJEB6592;SAMEA2661472;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526380;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;6TD;SAMEA2661472;ERS510686;ERS510686;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;6593268;3638649
ERR567392;kkennedy_illumina-bias_18;AMPLICON;PRJEB6592;SAMEA2661473;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526381;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;6TD;SAMEA2661473;ERS510687;ERS510687;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;12254824;6573654
ERR567393;kkennedy_illumina-bias_19;AMPLICON;PRJEB6592;SAMEA2661474;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526382;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;6TD;SAMEA2661474;ERS510688;ERS510688;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;12906922;6953235
ERR567394;kkennedy_illumina-bias_20;AMPLICON;PRJEB6592;SAMEA2661475;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526383;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;10AS;SAMEA2661475;ERS510689;ERS510689;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;37100812;19648606
ERR567395;kkennedy_illumina-bias_21;AMPLICON;PRJEB6592;SAMEA2661476;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526384;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;10AS;SAMEA2661476;ERS510690;ERS510690;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;21878164;11627674
ERR567396;kkennedy_illumina-bias_22;AMPLICON;PRJEB6592;SAMEA2661477;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526385;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;10AS;SAMEA2661477;ERS510691;ERS510691;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;35996412;19085014
ERR567397;kkennedy_illumina-bias_23;AMPLICON;PRJEB6592;SAMEA2661478;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526386;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;10AS;SAMEA2661478;ERS510692;ERS510692;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;32957806;17505303
ERR567398;kkennedy_illumina-bias_24;AMPLICON;PRJEB6592;SAMEA2661479;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526387;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;10AS;SAMEA2661479;ERS510693;ERS510693;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;27865518;14634578
ERR567399;kkennedy_illumina-bias_25;AMPLICON;PRJEB6592;SAMEA2661480;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526388;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;10AS;SAMEA2661480;ERS510694;ERS510694;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;6883926;3688121
ERR567400;kkennedy_illumina-bias_26;AMPLICON;PRJEB6592;SAMEA2661481;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526389;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;10AS;SAMEA2661481;ERS510695;ERS510695;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;14592136;7860758
ERR567401;kkennedy_illumina-bias_27;AMPLICON;PRJEB6592;SAMEA2661482;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526390;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;10AS;SAMEA2661482;ERS510696;ERS510696;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;11015386;5942067
ERR567402;kkennedy_illumina-bias_28;AMPLICON;PRJEB6592;SAMEA2661483;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526391;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;10AS;SAMEA2661483;ERS510697;ERS510697;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;7742346;4187151
ERR567403;kkennedy_illumina-bias_29;AMPLICON;PRJEB6592;SAMEA2661484;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 soil metagenome;ERC000011;24/07/2014;16/11/2018;ERX526392;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;soil metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;10AS;SAMEA2661484;ERS510698;ERS510698;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;6814650;3796202
ERR567404;kkennedy_illumina-bias_30;AMPLICON;PRJEB6592;SAMEA2661485;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526393;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S3;SAMEA2661485;ERS510699;ERS510699;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;29933256;15085422
ERR567405;kkennedy_illumina-bias_31;AMPLICON;PRJEB6592;SAMEA2661486;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526394;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S3;SAMEA2661486;ERS510700;ERS510700;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;30516078;15430396
ERR567406;kkennedy_illumina-bias_32;AMPLICON;PRJEB6592;SAMEA2661487;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526395;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S3;SAMEA2661487;ERS510701;ERS510701;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;27965416;14105072
ERR567407;kkennedy_illumina-bias_33;AMPLICON;PRJEB6592;SAMEA2661488;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526396;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S3;SAMEA2661488;ERS510702;ERS510702;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;37079728;18931640
ERR567408;kkennedy_illumina-bias_34;AMPLICON;PRJEB6592;SAMEA2661489;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526397;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S3;SAMEA2661489;ERS510703;ERS510703;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;30978420;15507726
ERR567409;kkennedy_illumina-bias_35;AMPLICON;PRJEB6592;SAMEA2661490;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526398;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:28Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S3;SAMEA2661490;ERS510704;ERS510704;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;8955680;4596974
